Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:06:01.611;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.6;-8.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:01.653;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93;-8.9;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:01.653;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-90;-13.6;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:01.713;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-72;-6;240;LTE;XL;376
2022-08-20 12:06:01.713;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-82;-7.9;240;LTE;XL;1325
2022-08-20 12:06:01.966;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.6;-9;59;LTE;Telkomsel;1850
2022-08-20 12:06:02.213;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-5.9;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:02.213;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-8;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:02.255;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93;-10;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:02.255;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-90;-15;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:02.316;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-81;-8.6;240;LTE;XL;1325
2022-08-20 12:06:02.316;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-73;-8.5;240;LTE;XL;376
2022-08-20 12:06:02.568;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.3;-9.3;59;LTE;Telkomsel;1850
2022-08-20 12:06:02.814;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-6.6;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:02.814;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-88.6;-8.6;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:02.857;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-92;-10;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:02.857;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-13.2;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:02.918;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-74.3;-11.2;240;LTE;XL;376
2022-08-20 12:06:02.918;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-79;-6;240;LTE;XL;1325
2022-08-20 12:06:03.169;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.3;-9;59;LTE;Telkomsel;1850
2022-08-20 12:06:03.415;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-89;-8.9;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:03.415;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-6.8;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:03.458;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89;-11.4;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:03.458;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-91.9;-7.6;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:03.520;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-74;-7.9;240;LTE;XL;376
2022-08-20 12:06:03.520;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-79;-6;240;LTE;XL;1325
2022-08-20 12:06:03.771;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-8;59;LTE;Telkomsel;1850
2022-08-20 12:06:04.016;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-8.3;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:04.016;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-88.6;-9.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:04.062;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-91.6;-7;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:04.062;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89;-11.8;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:04.122;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-74.3;-13.8;240;LTE;XL;376
2022-08-20 12:06:04.122;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-79.3;-6.3;240;LTE;XL;1325
2022-08-20 12:06:04.372;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-9.3;59;LTE;Telkomsel;1850
2022-08-20 12:06:04.617;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-7.6;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:04.617;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-8.6;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:04.663;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-92;-7;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:04.663;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-11.6;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:04.723;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-73;-8.7;240;LTE;XL;376
2022-08-20 12:06:04.723;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-80.6;-8;240;LTE;XL;1325
2022-08-20 12:06:04.973;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-8.3;59;LTE;Telkomsel;1850
2022-08-20 12:06:05.218;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.6;-7.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:05.218;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86;-6;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:05.265;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-12.8;446;LTE;Indosat Ooredoo Hutchison;1625
